tract_id,week,count,city,state
53053073500,2020/4/27,55,614.3226940000001,-1590.2034070000002
53053940001,2020/4/27,35,378.428077,-979.311413
53053940002,2020/4/27,28,330.5936540000001,-856.663743
53053940003,2020/4/27,75,757.1510659999999,-1955.6975380000001
53053940004,2020/4/27,40,472.39573,-1223.876742
53053940005,2020/4/27,44,472.96154500000006,-1220.950031
53053940006,2020/4/27,28,329.481844,-853.213807
53053940007,2020/4/27,20,236.58874,-612.0549579999999
53053940008,2020/4/27,72,710.6525060000001,-1835.7236079999998
53053940009,2020/4/27,17,189.077968,-489.180539
53053940010,2020/4/27,24,283.86516700000004,-733.7358380000001
53053940011,2020/4/27,50,567.560236,-1466.3008109999998
53055960100,2020/4/27,8,97.42772,-245.35871600000002
53055960400,2020/4/27,4,47.621348,-122.197349
53057940200,2020/4/27,16,193.53573699999998,-490.052909
53057940300,2020/4/27,24,290.689766,-735.884454
53057940400,2020/4/27,44,436.54581199999996,-1103.770704
53057940500,2020/4/27,12,145.48715099999998,-368.08745999999996
53057940600,2020/4/27,12,145.50934999999998,-367.927276
53057940700,2020/4/27,4,47.666046,-122.162789
53057940800,2020/4/27,8,95.66328899999999,-244.74854299999998
53057950100,2020/4/27,12,96.94179299999999,-244.946577
53057950800,2020/4/27,41,483.41708800000004,-1223.8206470000002
53057950900,2020/4/27,28,339.162952,-857.051816
53057951000,2020/4/27,4,47.796245,-122.496904
53057951100,2020/4/27,12,145.168359,-367.081301
53057951200,2020/4/27,33,387.025783,-979.6625139999999
53057951300,2020/4/27,16,193.96982500000001,-489.404851
53057951400,2020/4/27,12,145.445304,-367.357909
53057951500,2020/4/27,58,579.587456,-1469.142125
53057951600,2020/4/27,16,193.73256,-489.636037
53057951700,2020/4/27,31,290.853534,-734.497599
53057951800,2020/4/27,33,387.406708,-978.608642
53057951900,2020/4/27,12,145.63936999999999,-367.097778
53057952100,2020/4/27,33,386.96474700000005,-980.153365
53057952200,2020/4/27,28,290.539998,-734.253908
53057952301,2020/4/27,21,240.77370100000002,-611.516273
53057952302,2020/4/27,40,484.53593300000006,-1224.3869089999998
53057952401,2020/4/27,20,242.04341500000004,-611.605637
53057952402,2020/4/27,55,627.5490030000001,-1589.9218059999998
53057952500,2020/4/27,12,145.233043,-367.000605
53057952600,2020/4/27,13,144.69682799999998,-366.614577
53057952700,2020/4/27,12,145.041412,-367.23985
53059950200,2020/4/27,4,45.82306,-122.733129
53061040100,2020/4/27,32,383.587222,-977.8121749999999
53061040200,2020/4/27,12,144.05352,-366.527566
53061040300,2020/4/27,17,191.86632,-488.450899
53061040400,2020/4/27,25,238.02531399999998,-608.114233
53061040500,2020/4/27,8,95.84761599999999,-244.033181
53061040700,2020/4/27,29,336.514801,-856.057885
53061040800,2020/4/27,16,191.89918,-488.858461
53061040900,2020/4/27,12,143.887289,-366.686398
53061041000,2020/4/27,32,384.12573299999997,-977.871079
