tract_id,week,count,city,state
530020000,2019/4/29,202,1452.7214400000005,-3698.018181
530050000,2019/4/29,2911,29474.15815700009,-75929.96235199997
530080000,2019/4/29,1166,9784.486056000003,-24801.433189000036
530090000,2019/4/29,398,4263.138875,-10960.893611999987
530099000,2019/4/29,4,48.254297,-124.259737
530100000,2019/4/29,4,47.734279,-122.647523
530110000,2019/4/29,1445,14665.658295000023,-39079.62624300009
530140000,2019/4/29,47,417.032022,-1067.966154
530150000,2019/4/29,1251,11727.03492299998,-31216.281569000043
530180000,2019/4/29,741,6024.910993999998,-15290.43570000001
530200000,2019/4/29,4,48.06904,-122.145129
530210000,2019/4/29,1156,11676.224089999989,-30056.355427000002
530240000,2019/4/29,4,46.895994,-117.358427
530250000,2019/4/29,943,9484.154833999997,-24044.134910999997
530270000,2019/4/29,898,8657.357519000007,-22709.412469
530279000,2019/4/29,4,47.231331,-122.358341
530300000,2019/4/29,857,8908.506479999995,-22656.464340999995
530320000,2019/4/29,200,2109.399706,-5396.339188
530330000,2019/4/29,37705,360960.1330690062,-927745.6503509955
530351000,2019/4/29,2593,28214.74086299999,-72682.47991000002
530359000,2019/4/29,74,859.3698810000001,-2206.8043410000005
530380000,2019/4/29,539,5413.740881000002,-13874.859306000013
530400000,2019/4/29,45,508.86147100000005,-1326.728108
530420000,2019/4/29,504,4588.232956999997,-12042.142844999998
530440000,2019/4/29,68,806.4218430000001,-2011.1444839999997
530460000,2019/4/29,470,5153.567827,-13390.938241000003
530479000,2019/4/29,20,193.59074,-478.152354
530480000,2019/4/29,160,1684.005865999999,-4193.230308999998
530500000,2019/4/29,118,1265.3906399999998,-3331.372307999999
530520000,2019/4/29,80,719.196029,-1758.1213529999995
530531000,2019/4/29,14552,122444.43811399965,-317063.3276509989
530539000,2019/4/29,1395,12295.739281000022,-31811.56593000003
530560000,2019/4/29,55,622.794044,-1592.4751770000003
530579000,2019/4/29,302,3195.756201000002,-8085.933892000004
530580000,2019/4/29,1036,11256.87148200001,-28494.683811000035
530600000,2019/4/29,16,184.139943,-485.9025730000001
530610000,2019/4/29,2772,28874.40354899999,-73808.38682000006
530611000,2019/4/29,7210,79481.8168340005,-203078.75037200094
530619000,2019/4/29,61,672.0268440000001,-1711.3986499999999
530620000,2019/4/29,4,47.916012,-122.256872
530630000,2019/4/29,5946,62876.08443999961,-155370.22378999935
530660000,2019/4/29,223,2445.5684829999996,-6022.462349999999
530670000,2019/4/29,3448,35734.47202899993,-93162.44491699946
530700000,2019/4/29,24,277.375,-738.458522
530719000,2019/4/29,619,6279.578333999999,-16138.892991999977
530730000,2019/4/29,2074,22172.99826499998,-55841.68242600004
530739000,2019/4/29,49,536.9811239999999,-1348.220966
530750000,2019/4/29,328,3002.4747679999978,-7545.818670999996
530770000,2019/4/29,2163,21238.448113000002,-54925.10211400016
530779000,2019/4/29,219,2091.5675029999998,-5412.219374000002
