tract_id,week,count
53001950100,2019/4/29,4
53001950300,2019/4/29,64
53001950400,2019/4/29,37
53001950500,2019/4/29,97
53005010100,2019/4/29,66
53005010201,2019/4/29,91
53005010202,2019/4/29,108
53005010300,2019/4/29,99
53005010400,2019/4/29,46
53005010500,2019/4/29,56
53005010600,2019/4/29,80
53005010701,2019/4/29,16
53005010703,2019/4/29,60
53005010705,2019/4/29,121
53005010707,2019/4/29,51
53005010708,2019/4/29,68
53005010803,2019/4/29,197
53005010805,2019/4/29,183
53005010807,2019/4/29,28
53005010809,2019/4/29,86
53005010810,2019/4/29,90
53005010811,2019/4/29,72
53005010813,2019/4/29,186
53005010814,2019/4/29,81
53005010901,2019/4/29,63
53005010902,2019/4/29,42
53005011001,2019/4/29,57
53005011002,2019/4/29,75
53005011100,2019/4/29,111
53005011200,2019/4/29,52
53005011300,2019/4/29,56
53005011401,2019/4/29,77
53005011402,2019/4/29,76
53005011501,2019/4/29,78
53005011503,2019/4/29,129
53005011504,2019/4/29,53
53005011700,2019/4/29,89
53005011800,2019/4/29,106
53005011900,2019/4/29,62
53007960100,2019/4/29,18
53007960200,2019/4/29,55
53007960300,2019/4/29,83
53007960400,2019/4/29,24
53007960500,2019/4/29,88
53007960600,2019/4/29,93
53007960700,2019/4/29,123
53007960801,2019/4/29,29
53007960802,2019/4/29,107
53007961000,2019/4/29,105
53007961100,2019/4/29,169
53007961200,2019/4/29,53
53007961301,2019/4/29,12
53007961302,2019/4/29,207
53009000200,2019/4/29,4
53009000300,2019/4/29,24
53009000400,2019/4/29,8
53009000600,2019/4/29,17
53009000700,2019/4/29,33
53009000800,2019/4/29,38
53009000900,2019/4/29,13
53009001000,2019/4/29,20
53009001100,2019/4/29,30
53009001200,2019/4/29,32
53009001300,2019/4/29,21
53009001400,2019/4/29,37
53009001500,2019/4/29,16
53009001600,2019/4/29,23
53009001700,2019/4/29,29
53009002000,2019/4/29,16
53009002100,2019/4/29,20
53009002300,2019/4/29,17
53009940000,2019/4/29,4
53009990100,2019/4/29,4
53011040101,2019/4/29,12
53011040102,2019/4/29,8
53011040201,2019/4/29,35
53011040202,2019/4/29,22
53011040203,2019/4/29,39
53011040301,2019/4/29,13
53011040302,2019/4/29,81
53011040403,2019/4/29,25
53011040407,2019/4/29,37
53011040408,2019/4/29,8
53011040411,2019/4/29,4
53011040412,2019/4/29,8
53011040413,2019/4/29,16
53011040414,2019/4/29,46
53011040415,2019/4/29,32
53011040416,2019/4/29,15
53011040504,2019/4/29,32
53011040505,2019/4/29,4
53011040508,2019/4/29,16
53011040509,2019/4/29,26
53011040510,2019/4/29,19
53011040511,2019/4/29,8
53011040603,2019/4/29,20
53011040604,2019/4/29,36
53011040605,2019/4/29,19
53011040608,2019/4/29,8
53011040609,2019/4/29,25
53011040610,2019/4/29,8
53011040703,2019/4/29,4
53011040706,2019/4/29,12
53011040707,2019/4/29,8
53011040709,2019/4/29,29
53011040710,2019/4/29,23
53011040711,2019/4/29,8
53011040712,2019/4/29,29
53011040803,2019/4/29,4
53011040805,2019/4/29,20
53011040806,2019/4/29,8
53011040808,2019/4/29,10
53011040809,2019/4/29,20
53011040810,2019/4/29,4
53011040904,2019/4/29,4
53011040905,2019/4/29,22
53011040907,2019/4/29,28
53011040908,2019/4/29,20
53011040909,2019/4/29,13
53011040910,2019/4/29,12
53011041003,2019/4/29,12
53011041005,2019/4/29,13
53011041007,2019/4/29,16
53011041008,2019/4/29,13
53011041009,2019/4/29,12
53011041010,2019/4/29,8
53011041011,2019/4/29,21
53011041104,2019/4/29,12
53011041105,2019/4/29,4
53011041108,2019/4/29,20
53011041111,2019/4/29,4
53011041112,2019/4/29,14
53011041201,2019/4/29,8
53011041203,2019/4/29,8
53011041205,2019/4/29,8
53011041206,2019/4/29,4
53011041317,2019/4/29,16
53011041318,2019/4/29,4
53011041319,2019/4/29,12
53011041320,2019/4/29,8
53011041321,2019/4/29,8
53011041322,2019/4/29,10
53011041323,2019/4/29,4
53011041325,2019/4/29,12
53011041326,2019/4/29,32
53011041327,2019/4/29,28
53011041328,2019/4/29,44
53011041329,2019/4/29,19
53011041330,2019/4/29,8
53011041331,2019/4/29,4
53011041332,2019/4/29,4
53011041333,2019/4/29,8
53011041400,2019/4/29,38
53011041500,2019/4/29,12
53011041600,2019/4/29,8
53011041700,2019/4/29,25
53011041800,2019/4/29,8
53011041900,2019/4/29,4
53011042000,2019/4/29,8
53011042100,2019/4/29,4
53011042300,2019/4/29,4
53011042500,2019/4/29,8
53011042600,2019/4/29,12
53011042700,2019/4/29,4
53011042800,2019/4/29,4
53011043000,2019/4/29,4
53011043100,2019/4/29,4
53013960200,2019/4/29,47
53015000300,2019/4/29,12
53015000400,2019/4/29,56
53015000501,2019/4/29,34
53015000502,2019/4/29,53
53015000601,2019/4/29,40
53015000602,2019/4/29,22
53015000702,2019/4/29,24
53015000703,2019/4/29,28
53015000704,2019/4/29,70
53015000800,2019/4/29,95
53015000900,2019/4/29,130
53015001000,2019/4/29,4
53015001100,2019/4/29,73
53015001200,2019/4/29,87
53015001300,2019/4/29,20
53015001501,2019/4/29,25
53015001502,2019/4/29,60
53015001600,2019/4/29,40
53015001700,2019/4/29,68
53015001800,2019/4/29,32
53015001900,2019/4/29,48
53015002001,2019/4/29,46
53015002002,2019/4/29,128
53015002100,2019/4/29,56
53017950100,2019/4/29,45
