safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,city,region,x,y,dist.meters.,area_square_feet
sg:8f14d53d845b4b74bcf7999a07b15999,246786,126438,5.3005E+11,4,2020/4/27,Richland,WA,-119.2928601,46.30025966,547.2843483,129731
sg:a00c55821aff4241a060f4b2d8bd5121,246785,355072,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2928601,46.30025966,3475.090907,1621367
sg:b8d63e67b42a419b807e302592afad7b,246784,1623,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2928601,46.30025966,5500.377864,67520
sg:c8c4192215fa4695b028cb27730dd61a,246783,420257,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2928601,46.30025966,11703.23112,18795580
sg:13404f6ef36d426cbd61aa7169590ba3,357074,403992,5.3005E+11,8,2020/4/27,Richland,WA,-119.2897618,46.29605003,217.1101735,41368
sg:5833faff7bb44fd6a4b7c5e000113f05,357073,104264,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2897618,46.29605003,402.6796294,2589
sg:5940b7db23574170a0b41017a018ab5e,357072,258539,5.3005E+11,5,2020/4/27,Kennewick,WA,-119.2897618,46.29605003,974.9652961,126661
sg:61098c8e6e6446448dba429b88c2cd78,357071,332361,5.3005E+11,10,2020/4/27,Richland,WA,-119.2897618,46.29605003,511.8990794,43801
sg:79501949fd7547fcb255c42df1250de2,357070,374240,5.3005E+11,7,2020/4/27,Richland,WA,-119.2897618,46.29605003,2585.174061,2716841
sg:8f14d53d845b4b74bcf7999a07b15999,357069,126437,5.3005E+11,4,2020/4/27,Richland,WA,-119.2897618,46.29605003,753.9322159,129731
sg:912dc6efa96141fdbd9a6e329d8d0273,357068,48435,5.3005E+11,5,2020/4/27,Richland,WA,-119.2897618,46.29605003,2402.311721,947
sg:79501949fd7547fcb255c42df1250de2,382582,374254,5.3005E+11,4,2020/4/27,Richland,WA,-119.2780209,46.33465468,2980.84046,2716841
sg:5ae667a713ba43578975e6754384f631,383907,252581,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2786755,46.31479672,7329.086815,123729
sg:77f1721c81be4bcdbadda3cc24634b82,383905,233258,5.3005E+11,7,2020/4/27,Richland,WA,-119.2786755,46.31479672,157.3344597,470537
sg:a00c55821aff4241a060f4b2d8bd5121,335328,355085,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2787318,46.30901741,4048.505341,1621367
sg:79501949fd7547fcb255c42df1250de2,246777,374241,5.3005E+11,6,2020/4/27,Richland,WA,-119.2795635,46.30362023,1466.206158,2716841
sg:c8c4192215fa4695b028cb27730dd61a,246776,420255,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2795635,46.30362023,11256.56466,18795580
sg:5940b7db23574170a0b41017a018ab5e,331470,258540,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2798217,46.2971388,199.8391925,126661
sg:60adb170952a49bfa97bad9d472061df,331469,72958,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2798217,46.2971388,10020.64036,1147518
sg:8d50e280b9e741f0b91cc520fc7b5af4,331468,410384,5.3005E+11,4,2020/4/27,Walla Walla,WA,-119.2798217,46.2971388,78627.49451,1436244
sg:a00c55821aff4241a060f4b2d8bd5121,331467,355086,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2798217,46.2971388,2770.943049,1621367
sg:a23b07db30724e589960afca28538f1b,331466,98555,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.2798217,46.2971388,5760.575879,18961
sg:8f14d53d845b4b74bcf7999a07b15999,246772,126439,5.3005E+11,4,2020/4/27,Richland,WA,-119.3019404,46.28586647,2193.595688,129731
sg:a0de7adc95b64dc0b3ddd31d478d1a86,246771,409772,5.3005E+11,8,2020/4/27,Kennewick,WA,-119.3019404,46.28586647,5350.529728,2805373
sg:b8d63e67b42a419b807e302592afad7b,246770,1622,5.3005E+11,4,2020/4/27,Kennewick,WA,-119.3019404,46.28586647,5289.471523,67520
