safegraph_place_id,X,Unnamed..0,visitor_home_cbgs,visitor_count,date,latitude,longitude,city,region,x,y,dist.meters.,area_square_feet
sg:f6590493a3b841fab4da0f4c524cd141,187732,782434,530020000000 ,4,2019/4/29,47.500291,-117.569377,Cheney,WA,-118.3511327,47.13510278,71704.86142,300021
sg:02975798930f4e19ac44abc62f42bdb8,731737,322008,530050000000 ,4,2019/4/29,46.265766,-119.278005,Richland,WA,-119.284473,46.26535277,500.7392389,148602
sg:02975798930f4e19ac44abc62f42bdb8,731724,322004,530050000000 ,5,2019/4/29,46.265766,-119.278005,Richland,WA,-119.2792396,46.26463743,157.4690895,148602
sg:02975798930f4e19ac44abc62f42bdb8,247601,322006,530050000000 ,4,2019/4/29,46.265766,-119.278005,Richland,WA,-119.4105296,46.20518102,12241.08999,148602
sg:02975798930f4e19ac44abc62f42bdb8,311777,322005,530050000000 ,5,2019/4/29,46.265766,-119.278005,Richland,WA,-119.3319523,46.25174321,4441.883544,148602
sg:0500b30908ec47c48af569067fc7036e,441435,237153,530050000000 ,4,2019/4/29,46.205886,-119.77726,Grandview,WA,-119.7633165,46.19468118,1646.031594,150879
sg:06ff5daacf90469189fe0d03452619b3,311743,666328,530050000000 ,4,2019/4/29,46.248039,-119.911764,Grandview,WA,-119.2749112,46.22534132,49186.56041,1277699
sg:06ffcfe8c8e5444697056cadc0e6e963,130568,340190,530050000000 ,4,2019/4/29,46.268666,-119.309865,Richland,WA,-119.3202473,46.1879838,9003.986103,69572
sg:0ae564f359b94df282420e575cebcda1,474860,187647,530050000000 ,4,2019/4/29,46.189591,-119.126922,Kennewick,WA,-119.165474,46.21950918,4462.291258,47860
sg:0ae564f359b94df282420e575cebcda1,825742,187648,530050000000 ,4,2019/4/29,46.189591,-119.126922,Kennewick,WA,-119.132758,46.1876436,499.8392129,47860
sg:0ae564f359b94df282420e575cebcda1,857235,187649,530050000000 ,4,2019/4/29,46.189591,-119.126922,Kennewick,WA,-119.1223517,46.18749262,422.9553168,47860
sg:0afb817fc991415489703b4b5692270e,130566,564258,530050000000 ,4,2019/4/29,47.696362,-117.494696,Spokane,WA,-119.3202473,46.1879838,217788.9924,2262070
sg:0fe2141b72104f558f960a2adac5483c,596771,779119,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.3473547,46.30995505,4285.260627,11651256
sg:0fe2141b72104f558f960a2adac5483c,682967,779127,530050000000 ,4,2019/4/29,46.279823,-119.312663,Kennewick,WA,-119.3019741,46.27413901,1038.233388,11651256
